tax_id	species	genus	family	order	class	phylum	superkingdom
1	Abrothallus_subhalei	Abrothallus	Abrothallaceae	Abrothallales	Dothideomycetes	Ascomycota	Fungi
2	Mucor_inaequisporus	Mucor	Mucoraceae	Mucorales	Mucoromycetes	Mucoromycota	Fungi
3	Candida_vrieseae	Candida	Saccharomycetales_fam_Incertae_sedis	Saccharomycetales	Saccharomycetes	Ascomycota	Fungi
4	Exophiala_lecanii-corni	Exophiala	Herpotrichiellaceae	Chaetothyriales	Eurotiomycetes	Ascomycota	Fungi
5	Johansonia_chapadensis	Johansonia	Johansoniaceae	Capnodiales	Dothideomycetes	Ascomycota	Fungi
6	Lasiodiplodia_venezuelensis	Lasiodiplodia	Botryosphaeriaceae	Botryosphaeriales	Dothideomycetes	Ascomycota	Fungi
7	Neofusicoccum_magniconidium	Neofusicoccum	Botryosphaeriaceae	Botryosphaeriales	Dothideomycetes	Ascomycota	Fungi
8	Neofusicoccum_mangiferae	Neofusicoccum	Botryosphaeriaceae	Botryosphaeriales	Dothideomycetes	Ascomycota	Fungi
9	Alanphillipsia_aloes	Alanphillipsia	Botryosphaeriaceae	Botryosphaeriales	Dothideomycetes	Ascomycota	Fungi
10	Scolecobasidium_lascauxense	Scolecobasidium	Sympoventuriaceae	Venturiales	Dothideomycetes	Ascomycota	Fungi
11	Neofusicladium_eucalypti	Neofusicladium	Sympoventuriaceae	Venturiales	Dothideomycetes	Ascomycota	Fungi
12	Annulohypoxylon_atroroseum	Annulohypoxylon	Hypoxylaceae	Xylariales	Sordariomycetes	Ascomycota	Fungi
13	Glypholecia_qinghaiensis	Glypholecia	Acarosporaceae	Acarosporales	Lecanoromycetes	Ascomycota	Fungi
14	Talaromyces_ucrainicus	Talaromyces	Trichocomaceae	Eurotiales	Eurotiomycetes	Ascomycota	Fungi
15	Talaromyces_rubicundus	Talaromyces	Trichocomaceae	Eurotiales	Eurotiomycetes	Ascomycota	Fungi
16	Lentaria_sp	Lentaria	Lentariaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
17	Sesquicillium_phyllophilum	Sesquicillium	Hypocreales_fam_Incertae_sedis	Hypocreales	Sordariomycetes	Ascomycota	Fungi
18	Hypomyces_viridigriseus	Hypomyces	Hypocreaceae	Hypocreales	Sordariomycetes	Ascomycota	Fungi
19	Phaeohelotium_pallidum	Phaeohelotium	Helotiaceae	Helotiales	Leotiomycetes	Ascomycota	Fungi
20	Endosporium_populi-tremuloides	Endosporium	Endosporiaceae	Myriangiales	Dothideomycetes	Ascomycota	Fungi
21	Cenangiopsis_violascens	Cenangiopsis	Cenangiaceae	Helotiales	Leotiomycetes	Ascomycota	Fungi
22	Heterotruncatella_aspera	Heterotruncatella	Sporocadaceae	Amphisphaeriales	Sordariomycetes	Ascomycota	Fungi
